FastInstructions,Statement,Correct,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,Instr1.started,Instr1.stopped,InstrResponse.keys,InstrResponse.rt,InstrResponse.started,InstrResponse.stopped,fixcross.started,fixcross.stopped,Fasttext.started,Fasttext.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Timer.started,Timer.stopped,EndStudyText.started,EndStudyText.stopped,endstudykey.keys,endstudykey.rt,endstudykey.started,endstudykey.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,Forks are alive,i,,,,,0,68,68,103,,,,,,,203.56642681499943,204.015902929008,204.04920651903376,None,i,1,1.0467044269898906,204.04920651903376,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A square is a color,i,,,,,0,69,69,133,,,,,,,205.11595681705512,205.56680992804468,205.59889026207384,None,i,1,1.129997428972274,205.59889026207384,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Oaks reproduce,e,,,,,0,70,70,95,,,,,,,206.7491940209875,207.19920987600926,207.23377829801757,None,e,1,3.4238237850368023,207.23377829801757,None,210.23373538539744,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Spatial intervals can be further divided,e,,,,,0,71,71,31,,,,,,,210.68366116203833,211.134440978989,211.16699568205513,None,i,0,1.1814641410019249,211.16699568205513,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Time is infinite,e,,,,,0,72,72,41,,,,,,,212.36660866509192,212.81682334502693,212.85162249405403,None,e,1,1.0746177770197392,212.85162249405403,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Bricks can be put in a container,e,,,,,0,73,73,77,,,,,,,213.95089512201957,214.39988066605292,214.43354758701753,None,e,1,2.472680037957616,214.43354758701753,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Pollen has a molecular structure,e,,,,,0,74,74,100,,,,,,,216.93374248500913,217.38418492407072,217.41762153699528,None,e,1,2.7574069160036743,217.41762153699528,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A circle is a flavor,i,,,,,0,75,75,135,,,,,,,220.2009927390609,220.6518918160582,220.68414085102268,None,i,1,1.1076019199099392,220.68414085102268,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Humans can breathe water,i,,,,,0,76,76,150,,,,,,,221.81696536799427,222.2675922960043,222.3017819779925,None,i,1,1.960997169953771,222.3017819779925,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Stones reproduce,i,,,,,0,77,77,106,,,,,,,224.28407561802305,224.73489984998014,224.76874005503487,None,i,1,3.216693621012382,224.76874005503487,None,227.76772956135682,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Tigers reproduce,e,,,,,0,78,78,75,,,,,,,228.0180830960162,228.46751263504848,228.50100299401674,None,e,1,0.872436824021861,228.50100299401674,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Number can be further divided,e,,,,,0,79,79,63,,,,,,,229.40203759004362,229.8517288940493,229.8844912700588,None,e,1,2.7399321949342266,229.8844912700588,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A truck is a vehicle,e,,,,,0,80,80,124,,,,,,,232.65219732699916,233.10234668804333,233.13500666501932,None,e,1,2.594085298012942,233.13500666501932,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Space has an end,i,,,,,0,81,81,50,,,,,,,235.75153387302998,236.201293671038,236.23456277209334,None,i,1,1.5203538939822465,236.23456277209334,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,An inch can go on forever,i,,,,,0,82,82,13,,,,,,,237.78564833605196,238.23548495105933,238.26843650301453,None,i,1,1.4982082330388948,238.26843650301453,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Dinosaurs are extinct,e,,,,,0,83,83,116,,,,,,,239.78547167300712,240.23560337198433,240.26920860505197,None,i,0,1.4275705280015245,240.26920860505197,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,A minute has an end,e,,,,,0,84,84,2,,,,,,,241.71924898400903,242.1696434430778,242.2015097780386,None,e,1,1.8540017789928243,242.2015097780386,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Mississippi is a country,i,,,,,0,85,85,147,,,,,,,244.08534349198453,244.53648800204974,244.56955335999373,None,i,1,1.140732738072984,244.56955335999373,None,None,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
,Intervals of time cannot be further divided,i,,,,,0,86,86,22,,,,,,,245.73601838201284,246.18575194606092,246.2185590810841,251.21911385201383,None,0,,246.2185590810841,None,249.22015331829897,None,,,,,,,12221fast1,001,2021_Dec_02_1643,InfinityThesisTest5,2021.2.3,60.12194449780064,
